"ID","Designator","Name","Footprint","Supplier","Quantity",
"1","KEY,RST","3*4*2.5 贴片椭圆白头按钮开关","3*4*2.5 贴片椭圆白头按钮开关","C493284,undefined","2",
"2","U10","DC-5.5*2.1","DC5.5*2.1MM",",undefined","1",
"3","U14","CH343P","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.7","C2846043,undefined","1",
"4","C12,C13,C14,C8,C7,C11","0.1u","C0402",",undefined","6",
"5","U12","ATMEGA328PB-MU","QFN-32_L5.0-W5.0-P0.50-TL-EP3.1","C967933,undefined","1",
"6","R136","1M","R0402",",undefined","1",
"7","USB1","TYPE-C母座16P不绣钢","TYPE-C-SMD_16P-L8.94-W7.35-P0.50","C9900003726,undefined","1",
"8","J2","HDR-M-2.54_2x3","HDR-M-2.54_2X3","C65114,undefined","1",
"9","J1","SH1.0-4P-AW","SH1.0-4P-AW",",undefined","1",
"10","R145,R86,R107,R110,R85,R92,R112,R118,R90,R88,R108,R87,R96,R114,R94,R139,R140,R141,R143,R144","1k","R0402",",undefined","20",
"11","C5,C6","1u","C0402",",undefined","2",
"12","D2","CDSOD323-T08S","SOD-323_L1.8-W1.3-LS2.6-FD","C1975274,undefined","1",
"13","F1","0.5A/6V","F0805","C130286,undefined","1",
"14","Q5","CJ3401","SOT23-3","C13799,undefined","1",
"15","R91,R111,R117,R89,R95,R113,R93,R16,R33,R53,R73,R13,R34,R54,R74,R14,R35,R55,R75,R15,R36,R56,R76","100k","R0402",",undefined","23",
"16","R98,R119,R122,R97,R100,R120,R99,R1,R21,R41,R61,R2,R22,R42,R62,R3,R23,R43,R63,R4,R24,R44,R64","51k","R0402",",undefined","23",
"17","R82,R105,R106,R81,R84,R83,R9,R29,R49,R69,R10,R30,R50,R70,R11,R31,R51,R71,R12,R32,R52,R72","10M","R0402",",undefined","22",
"18","R102,R123,R126,R101,R104,R124,R103","68","R0402",",undefined","7",
"19","R128","100K","R0402",",undefined","1",
"20","R137,R138,R142","10k","R0402",",undefined","3",
"21","U9","1N4007丝印M7","SMA_L4.3-W2.6-LS5.2-RD","C9900013679,undefined","1",
"22","U11","RT9013-3.3GB","SOT-23-5_L2.9-W1.6-P0.94-LS2.8-BL","C9900009203,undefined","1",
"23","U15,U16","ESD0402","ESD0402","undefined,undefined","2",
"24","U6,U5,U1,U3,U2,U4","RS6334XTQC16","TQFN3X3-16L_L3.0-W3.0-P0.50-BL-EP1.7","C255460,undefined","6",
"25","R17,R37,R57,R77,R18,R38,R58,R78,R19,R39,R59,R79,R20,R40,R60,R80","330","R0402",",undefined","16",
"26","R5,R25,R45,R65,R6,R26,R46,R66,R7,R27,R47,R67,R8,R28,R48,R68","47k","R0402",",undefined","16",
"27","Q8","耐压:45V 电流:100mA NPN","SOT-323-3","C232591,undefined","1",
"28","U19,U20,U21","Air001_LMBT3904DW1T1G","SOT-363_SC-70-6","undefined,LMBT3904DW1T1G","3",
"29","C10,C9","12p","C0402",",undefined","2",
"30","U22","TLV62130ARGTR","VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7","C138520,TLV62130ARGTR","1",
"31","C16","3.3n","0402","undefined,3.3n","1",
"32","R146","680k","0402","undefined,680k","1",
"33","R147","130k","0402","undefined,130k","1",
"34","R148","100k","0402","undefined,100k","1",
"35","C18","22u","0402","undefined,22u","1",
"36","C17","0.1u","0402","undefined,0.1u","1",
"37","U23","10uF 钽电容 P型 (10V)","0805",",10uF","1",
"38","X1","16MHz ±10ppm 9pF","SMD3225-4P","C13738,16MHz","1",
"39","R151,R152","5.1k","0402","undefined,5.1k","2",
"40","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED20,LED19,LED24,LED21,LED22,LED_3V3,LED_5V,LED_IO,LED_PWR,LED_RST,LED_VIN","E6CC1206QBAC1UDA","LED1206-RD_BLUE-GH_E6CC1206QBAC1UDA","C375563,undefined","29",
"41","L1","2.2uH ±20% 1.75A 108mΩ","SMD,2.5x2x1.2mm","C843289,2.2uH","1",
